How the stethoscope was invented | Moments of Vision 7 - Jessica Oreck,https://ed.ted.com/lessons/how-the-stethoscope-was-invented-moments-of-vision-7-jessica-oreck,Transcript not available
How blue jeans were invented | Moments of Vision 10,https://ed.ted.com/lessons/how-blue-jeans-were-invented-moments-of-vision-10-jessica-oreck,Transcript not available
How the bendy straw was invented | Moments of Vision 12 - Jessica Oreck,https://ed.ted.com/lessons/how-the-bendy-straw-was-invented-moments-of-vision-12-jessica-oreck,Transcript not available
How super glue was invented | Moments of Vision 8 - Jessica Oreck,https://ed.ted.com/lessons/how-super-glue-was-invented-moments-of-vision-8-jessica-oreck,Transcript not available
How the Band-Aid was invented | Moments of Vision 3 - Jessica Oreck,https://ed.ted.com/lessons/how-the-band-aid-was-invented-moments-of-vision-3-jessica-oreck,Transcript not available
How I responded to sexism in gaming with empathy - Lilian Chen,https://ed.ted.com/lessons/how-i-responded-to-sexism-in-gaming-with-empathy-lilian-chen,Transcript not available
How smudge-proof lipstick was invented | Moments of Vision 6 - Jessica Oreck,https://ed.ted.com/lessons/how-smudge-proof-lipstick-was-invented-moments-of-vision-6-jessica-oreck,Transcript not available
"How to fix a broken school? Lead fearlessly, love hard - Linda Cliatt-Wayman",https://ed.ted.com/lessons/h8Loljsm,Transcript not available
Most Shocking Second a Day Video,https://ed.ted.com/best_of_web/Mli0hSVZ,Transcript not available
How the bra was invented | Moments of Vision 1 - Jessica Oreck,https://ed.ted.com/lessons/how-the-bra-was-invented-moments-of-vision-1-jessica-oreck,Transcript not available
Every kid needs a champion - Rita Pierson,https://ed.ted.com/lessons/oM5nk8Rv,Transcript not available
How Braille was invented | Moments of Vision 9 - Jessica Oreck,https://ed.ted.com/lessons/how-braille-was-invented-moments-of-vision-9-jessica-oreck,Transcript not available
How the rubber glove was invented | Moments of Vision 4 - Jessica Oreck,https://ed.ted.com/lessons/how-the-rubber-glove-was-invented-moments-of-vision-4-jessica-oreck,Transcript not available
Preguntas a las que nadie sabe responder - Chris Anderson,https://ed.ted.com/best_of_web/oxfvbZIB,Transcript not available
Let's make history…by recording it - StoryCorps & TED Prize,https://ed.ted.com/lessons/let-s-make-history-by-recording-it-storycorps-ted-prize,Transcript not available
Top 10 Amazing NEW SPECIES,https://ed.ted.com/best_of_web/j8E3iur6,Transcript not available
Could we stop an asteroid?,https://ed.ted.com/best_of_web/I1GW55AZ,Transcript not available
"Learn about the universe (that's everything, right?)",https://ed.ted.com/best_of_web/WpwICtAH,Transcript not available
"""Jabberwocky"": One of literature's best bits of nonsense",https://ed.ted.com/lessons/jabberwocky-one-of-literature-s-best-bits-of-nonsense,Transcript not available
"""The Road Not Taken"" by Robert Frost",https://ed.ted.com/lessons/the-road-not-taken-by-robert-frost,Transcript not available
"The Furnace Bots | Think Like A Coder, Ep 3",https://ed.ted.com/lessons/the-furnace-bots-think-like-a-coder-ep-3,Transcript not available
How coffee got quicker | Moments of Vision 2 - Jessica Oreck,https://ed.ted.com/lessons/how-coffee-got-quicker-moments-of-vision-2-jessica-oreck,Transcript not available
"The Resistance | Think Like A Coder, Ep 2",https://ed.ted.com/lessons/the-resistance-think-like-a-coder-ep-2,Transcript not available
Does working hard really make you a good person? - Azim Shariff,https://ed.ted.com/lessons/does-working-hard-really-make-you-a-good-person-azim-shariff,Transcript not available
The art of paying attention - Wendy MacNaughton,https://ed.ted.com/lessons/the-art-of-paying-attention-wendy-macnaughton,Transcript not available
Why people believe they can't draw - Graham Shaw,https://ed.ted.com/lessons/why-people-believe-they-can-t-draw-graham-shaw,Transcript not available
#TEDEdChat: Redefining Leadership | Drew Dudley | Leading with Lollipops |,https://ed.ted.com/best_of_web/H9LmzVHG,Transcript not available
"""All the World's a Stage"" by William Shakespeare",https://ed.ted.com/lessons/all-the-world-s-a-stage-by-william-shakespeare,Transcript not available
How the sandwich was invented | Moments of Vision 5 - Jessica Oreck,https://ed.ted.com/lessons/how-the-sandwich-was-invented-moments-of-vision-5-jessica-oreck,Transcript not available
"The Factory | Think Like A Coder, Ep 9",https://ed.ted.com/lessons/the-factory-think-like-a-coder-ep-9,Transcript not available
Why I invited a million people beneath a disappearing glacier - Joe Hanson,https://ed.ted.com/lessons/why-i-invited-a-million-people-beneath-a-disappearing-glacier-joe-hanson,Transcript not available
How can we support the emotional well-being of teachers? - Sydney Jensen,https://ed.ted.com/lessons/how-can-we-support-the-emotional-well-being-of-teachers-sydney-jensen,Transcript not available
A British soldier spared Hitler's life,https://ed.ted.com/best_of_web/Tpqwm31F,Transcript not available
How to quit your job — without ruining your career - Gala Jackson,https://ed.ted.com/lessons/how-to-quit-your-job-without-ruining-your-career-gala-jackson,Transcript not available
How college loans exploit students for profit - Sajay Samuel,https://ed.ted.com/lessons/how-college-loans-exploit-students-for-profit-sajay-samuel,Transcript not available
You don't actually know what your future self wants - Shankar Vendantam,https://ed.ted.com/lessons/you-don-t-actually-know-what-your-future-self-wants-shankar-vendantam,Transcript not available
"The case for free, universal basic services - Aaron Bastani",https://ed.ted.com/lessons/the-case-for-free-universal-basic-services-aaron-bastani,Transcript not available
What it's like to be a parent in a war zone - Aala El-Khani,https://ed.ted.com/lessons/what-it-s-like-to-be-a-parent-in-a-war-zone-aala-el-khani,Transcript not available
Why are US cities still so segregated? - Kevin Ehrman-Solberg and Kirsten Delegard,https://ed.ted.com/lessons/the-dark-history-of-the-suburbs-kevin-ehrman-solberg-and-kirsten-delegard,Transcript not available
"How would you finish the sentence, “Imagine if…”? - Sir Ken Robinson",https://ed.ted.com/lessons/how-would-you-finish-the-sentence-imagine-if-sir-ken-robinson,Transcript not available
We're building a dystopia just to make people click on ads - Zeynep Tufekci,https://ed.ted.com/lessons/we-re-building-a-dystopia-just-to-make-people-click-on-ads-zeynep-tufekci,Transcript not available
The benefits of not being a jerk to yourself - Dan Harris,https://ed.ted.com/lessons/the-benefits-of-not-being-a-jerk-to-yourself-dan-harris,Transcript not available
Should you donate your DNA to help cure diseases? - Greg Foot,https://ed.ted.com/lessons/should-you-donate-your-dna-to-help-cure-diseases-greg-foot,Transcript not available
We can help you master public speaking - Chris Anderson,https://ed.ted.com/lessons/we-can-help-you-master-public-speaking-chris-anderson,Transcript not available
